user = john.carnell, sessionId = 5BA170E6E612098D5715F363510136DA ,  2019-07-30T10:23:25.443+0000 , http-nio-8195-exec-4 , com.sharklabs.ams.api.AssetController.getPaginatedAssets , INFO ,  Request received in controller to get page of assets.
user = john.carnell, sessionId = 5BA170E6E612098D5715F363510136DA ,  2019-07-30T10:23:25.460+0000 , http-nio-8195-exec-4 , com.sharklabs.ams.api.AssetService.getPaginatedAssets , INFO ,  Received assets from database. Returning to controller
user = john.carnell, sessionId = 42C86A07F6072642C38DCB960DAC2845 ,  2019-07-30T10:24:22.953+0000 , http-nio-8195-exec-6 , com.sharklabs.ams.api.AssetController.getPaginatedAssets , INFO ,  Request received in controller to get page of assets.
user = john.carnell, sessionId = 42C86A07F6072642C38DCB960DAC2845 ,  2019-07-30T10:24:22.958+0000 , http-nio-8195-exec-6 , com.sharklabs.ams.api.AssetService.getPaginatedAssets , INFO ,  Received assets from database. Returning to controller
user = john.carnell, sessionId = FACDEF11CE2EE7A82F30A1C3AEFCC68E ,  2019-07-30T10:27:03.587+0000 , http-nio-8195-exec-9 , com.sharklabs.ams.api.AssetController.getPaginatedAssets , INFO ,  Request received in controller to get page of assets.
user = john.carnell, sessionId = FACDEF11CE2EE7A82F30A1C3AEFCC68E ,  2019-07-30T10:27:03.598+0000 , http-nio-8195-exec-9 , com.sharklabs.ams.api.AssetService.getPaginatedAssets , INFO ,  Received assets from database. Returning to controller
user = john.carnell, sessionId = 72B1351A9808F61C95FDE8F84EE4D699 ,  2019-07-30T10:33:31.781+0000 , http-nio-8195-exec-2 , com.sharklabs.ams.api.AssetController.getPaginatedAssets , INFO ,  Request received in controller to get page of assets.
user = john.carnell, sessionId = 72B1351A9808F61C95FDE8F84EE4D699 ,  2019-07-30T10:33:31.787+0000 , http-nio-8195-exec-2 , com.sharklabs.ams.api.AssetService.getPaginatedAssets , INFO ,  Received assets from database. Returning to controller
user = john.carnell, sessionId = 9B420AAB1E1E0D86A55B35DBA0F6281B ,  2019-07-30T10:38:59.780+0000 , http-nio-8195-exec-5 , com.sharklabs.ams.api.AssetController.getPaginatedAssets , INFO ,  Request received in controller to get page of assets.
user = john.carnell, sessionId = 9B420AAB1E1E0D86A55B35DBA0F6281B ,  2019-07-30T10:38:59.787+0000 , http-nio-8195-exec-5 , com.sharklabs.ams.api.AssetService.getPaginatedAssets , INFO ,  Received assets from database. Returning to controller
