user = john.carnell, sessionId = 1F6AEDF8B564F982C81BB068B458FC9A ,  2019-08-03T17:25:57.755+0500 , http-nio-8197-exec-4 , com.sharklabs.inspections.api.InspectionController.getPaginatedIssue , INFO ,  Request received in controller to get page of issues
user = john.carnell, sessionId = 1F6AEDF8B564F982C81BB068B458FC9A ,  2019-08-03T17:25:57.820+0500 , http-nio-8197-exec-4 , com.sharklabs.inspections.api.InspectionService.getPaginatedIssues , INFO ,  Page of issues got successfully. Returning it to controller
user = john.carnell, sessionId = 42A8C017A562F3866F945D396C077ACD ,  2019-08-03T17:26:02.685+0500 , http-nio-8197-exec-6 , com.sharklabs.inspections.api.InspectionController.getPaginatedServiceRequestsByTenant , INFO ,  Request received in controller to get page of service requests
user = john.carnell, sessionId = 42A8C017A562F3866F945D396C077ACD ,  2019-08-03T17:26:02.691+0500 , http-nio-8197-exec-6 , com.sharklabs.inspections.api.InspectionService.getPaginatedServiceRequestsByTenant , INFO ,  service requests got successfully. Returning to controller
user = john.carnell, sessionId = 829273868D85295D37F284E63AD6447D ,  2019-08-03T17:26:03.978+0500 , http-nio-8197-exec-8 , com.sharklabs.inspections.api.InspectionController.getIssuesCount , INFO ,  Request received in controller to get count of issues of assets.
user = john.carnell, sessionId = 829273868D85295D37F284E63AD6447D ,  2019-08-03T17:26:03.996+0500 , http-nio-8197-exec-8 , com.sharklabs.inspections.api.InspectionService.getIssuesCount , INFO ,  Issue Count got successfully.
user = john.carnell, sessionId = 3792F8BC7C5A9DE522C28DE8F3DFB1DF ,  2019-08-03T17:26:04.110+0500 , http-nio-8197-exec-9 , com.sharklabs.inspections.api.InspectionController.getIssuesCount , INFO ,  Request received in controller to get count of issues of assets.
user = john.carnell, sessionId = 3792F8BC7C5A9DE522C28DE8F3DFB1DF ,  2019-08-03T17:26:04.123+0500 , http-nio-8197-exec-9 , com.sharklabs.inspections.api.InspectionService.getIssuesCount , INFO ,  Issue Count got successfully.
user = john.carnell, sessionId = 4DE95396EACBEE165AAAB0FB61B8DC78 ,  2019-08-03T17:28:13.898+0500 , http-nio-8197-exec-2 , com.sharklabs.inspections.api.InspectionController.getPaginatedInspectionReports , INFO ,  Request received in controller to get page of inspection reports
user = john.carnell, sessionId = 4DE95396EACBEE165AAAB0FB61B8DC78 ,  2019-08-03T17:28:13.928+0500 , http-nio-8197-exec-2 , com.sharklabs.inspections.api.InspectionService.getPaginatedInspectionReports , INFO ,  Page of inspection report got successfully. Returning it to controller
user = john.carnell, sessionId = E4400A5B7A0A090C4A5379258BEBF75C ,  2019-08-03T17:28:25.609+0500 , http-nio-8197-exec-4 , com.sharklabs.inspections.api.InspectionController.getIssuesCount , INFO ,  Request received in controller to get count of issues of assets.
user = john.carnell, sessionId = E4400A5B7A0A090C4A5379258BEBF75C ,  2019-08-03T17:28:25.621+0500 , http-nio-8197-exec-4 , com.sharklabs.inspections.api.InspectionService.getIssuesCount , INFO ,  Issue Count got successfully.
